"图解2"
"平动位移 - Z (mm)","角位移1 (deg)"
-283.571018883723,-48.2622707985751
-283.691780767767,-48.0756684084105
-283.702341048682,-48.0592126564041
-283.896572256864,-47.758454773122
-284.085979686215,-47.4647885688063
-284.191435412342,-47.302689823097
-284.271030439139,-47.1777717608641
-284.299830501719,-47.1337690538229
-284.354258249325,-47.0487023856574
-284.450859760832,-46.8975160166566
-284.500753353935,-46.8202049612834
-284.625498990136,-46.6239821248856
-284.660360934522,-46.570226795479
-284.760188975617,-46.413827567364
-284.794794947627,-46.3584388725922
-284.958301301778,-46.0996147227712
-284.970508168069,-46.0814312858934
-285.116377060127,-45.8492570299026
-285.268215714064,-45.6064083404753
-285.34466679049,-45.4855513782394
-285.414713654249,-45.3754012957415
-285.414947347862,-45.3750249832815
-285.54762799187,-45.1633437746321
-285.556207378702,-45.1492503266079
-285.654496909188,-44.9907043177078
-285.690201470021,-44.9318664450942
-285.728040920727,-44.8731092626581
-285.818157416675,-44.7254033704789
-285.907856441999,-44.5802975397682
-285.939036619053,-44.5285703618652
-285.957919716364,-44.5000357009838
-286.027446411221,-44.3864728780179
-286.053685736745,-44.3425059095514
-286.145734372852,-44.1942979976691
-286.162513739171,-44.1673035906535
-286.263162930954,-44.001340903537
-286.356258066938,-43.8471009839202
-286.400456977052,-43.7773577679199
-286.444353259686,-43.7082036983345
-286.444453964153,-43.7080713900834
-286.49621846008,-43.6241838710433
-286.525052653208,-43.5751966919694
-286.565456309707,-43.5100284510107
-286.59633067596,-43.4572899560198
-286.659452565208,-43.3517632135215
-286.665081930121,-43.344692237728
-286.715178938366,-43.2594960597036
-286.762395158156,-43.1804495607666
-286.79674246171,-43.1286537060173
-286.807888567379,-43.1171080128359
-286.838477360929,-43.0662212224688
-286.860856144794,-43.0285062563609
-286.874378222812,-43.0062900694706
-286.879379140603,-42.9990480378967
