"图解3"
"平动位移 - Z (mm)","角位移2 (deg)"
2.80863715670118,-46.570226795479
2.7504363580035,-46.413827567364
2.73356552674175,-46.3584388725922
2.64155730268062,-46.0996147227712
2.63197597783169,-46.0814312858934
2.55100417723596,-45.8492570299026
2.46536330856127,-45.6064083404753
2.41828092564594,-45.4855513782394
2.37413141459139,-45.3754012957415
2.37400357876782,-45.3750249832815
2.30052899866907,-45.1633437746321
2.296614170398,-45.1492503266079
2.24099572701,-44.9907043177078
2.22341335558267,-44.9318664450942
2.19639653462604,-44.8731092626581
2.14997223087469,-44.7254033704789
2.09636183141354,-44.5802975397682
2.08063087790335,-44.5285703618652
2.06488186850011,-44.5000357009838
2.02558134413246,-44.3864728780179
2.0135025643256,-44.3425059095514
1.95432895573738,-44.1942979976691
1.94938109279628,-44.1673035906535
1.89331243853684,-44.001340903537
